timing,real_time
1700574545.7457528,2023-11-21 21:49:05.745753
1700574545.832521,2023-11-21 21:49:05.832521
1700574545.9292624,2023-11-21 21:49:05.929262
1700574546.0369735,2023-11-21 21:49:06.036973
1700574546.1327202,2023-11-21 21:49:06.132720
1700574546.230456,2023-11-21 21:49:06.230456
1700574546.3262002,2023-11-21 21:49:06.326200
1700574546.4219453,2023-11-21 21:49:06.421945
1700574546.5196831,2023-11-21 21:49:06.519683
1700574546.61842,2023-11-21 21:49:06.618420
1700574546.7131655,2023-11-21 21:49:06.713166
1700574546.809907,2023-11-21 21:49:06.809907
1700574546.904653,2023-11-21 21:49:06.904653
1700574546.9993994,2023-11-21 21:49:06.999399
1700574547.0981357,2023-11-21 21:49:07.098136
1700574547.1918852,2023-11-21 21:49:07.191885
1700574547.2866313,2023-11-21 21:49:07.286631
1700574547.380381,2023-11-21 21:49:07.380381
1700574547.476125,2023-11-21 21:49:07.476125
1700574547.5748613,2023-11-21 21:49:07.574861
1700574547.669607,2023-11-21 21:49:07.669607
1700574547.7653508,2023-11-21 21:49:07.765351
1700574547.8610947,2023-11-21 21:49:07.861095
1700574547.9588335,2023-11-21 21:49:07.958833
1700574548.053581,2023-11-21 21:49:08.053581
1700574548.1513197,2023-11-21 21:49:08.151320
1700574548.259031,2023-11-21 21:49:08.259031
1700574548.3677402,2023-11-21 21:49:08.367740
1700574548.461489,2023-11-21 21:49:08.461489
1700574548.5592282,2023-11-21 21:49:08.559228
1700574548.653974,2023-11-21 21:49:08.653974
1700574548.7567008,2023-11-21 21:49:08.756701
1700574548.875383,2023-11-21 21:49:08.875383
1700574549.0040402,2023-11-21 21:49:09.004040
1700574549.1167362,2023-11-21 21:49:09.116736
1700574549.2094889,2023-11-21 21:49:09.209489
1700574549.309222,2023-11-21 21:49:09.309222
1700574549.4099522,2023-11-21 21:49:09.409952
1700574549.5096855,2023-11-21 21:49:09.509686
1700574549.6094198,2023-11-21 21:49:09.609420
1700574549.7061605,2023-11-21 21:49:09.706161
1700574549.8108802,2023-11-21 21:49:09.810880
1700574549.9096155,2023-11-21 21:49:09.909616
1700574550.004363,2023-11-21 21:49:10.004363
1700574550.1001062,2023-11-21 21:49:10.100106
1700574550.199841,2023-11-21 21:49:10.199841
1700574550.2965813,2023-11-21 21:49:10.296581
1700574550.4122713,2023-11-21 21:49:10.412271
1700574550.5100098,2023-11-21 21:49:10.510010
1700574550.6087465,2023-11-21 21:49:10.608747
1700574550.705488,2023-11-21 21:49:10.705488
1700574550.8002334,2023-11-21 21:49:10.800233
1700574550.8969748,2023-11-21 21:49:10.896975
1700574550.9927192,2023-11-21 21:49:10.992719
1700574551.0884635,2023-11-21 21:49:11.088464
1700574551.186202,2023-11-21 21:49:11.186202
1700574551.282943,2023-11-21 21:49:11.282943
1700574551.3796847,2023-11-21 21:49:11.379685
1700574551.4873955,2023-11-21 21:49:11.487396
1700574551.5861318,2023-11-21 21:49:11.586132
1700574551.6818757,2023-11-21 21:49:11.681876
1700574551.7786171,2023-11-21 21:49:11.778617
1700574551.8793483,2023-11-21 21:49:11.879348
1700574551.9750912,2023-11-21 21:49:11.975091
1700574552.071833,2023-11-21 21:49:12.071833
1700574552.1685736,2023-11-21 21:49:12.168574
1700574552.2643178,2023-11-21 21:49:12.264318
1700574552.3620565,2023-11-21 21:49:12.362056
1700574552.4677734,2023-11-21 21:49:12.467773
1700574552.5645149,2023-11-21 21:49:12.564515
1700574552.662254,2023-11-21 21:49:12.662254
1700574552.7599926,2023-11-21 21:49:12.759993
1700574552.856733,2023-11-21 21:49:12.856733
1700574552.9534745,2023-11-21 21:49:12.953475
1700574553.0542057,2023-11-21 21:49:13.054206
1700574553.1718912,2023-11-21 21:49:13.171891
1700574553.2696295,2023-11-21 21:49:13.269629
1700574553.365373,2023-11-21 21:49:13.365373
1700574553.467101,2023-11-21 21:49:13.467101
1700574553.5638418,2023-11-21 21:49:13.563842
1700574553.6615815,2023-11-21 21:49:13.661582
1700574553.762312,2023-11-21 21:49:13.762312
1700574553.8630419,2023-11-21 21:49:13.863042
1700574553.9647706,2023-11-21 21:49:13.964771
1700574554.068492,2023-11-21 21:49:14.068492
1700574554.1682255,2023-11-21 21:49:14.168226
1700574554.2669613,2023-11-21 21:49:14.266961
1700574554.3637025,2023-11-21 21:49:14.363703
1700574554.468423,2023-11-21 21:49:14.468423
1700574554.5651639,2023-11-21 21:49:14.565164
1700574554.69382,2023-11-21 21:49:14.693820
1700574554.7945504,2023-11-21 21:49:14.794550
1700574554.8962786,2023-11-21 21:49:14.896279
1700574554.9930198,2023-11-21 21:49:14.993020
1700574555.089761,2023-11-21 21:49:15.089761
1700574555.1875002,2023-11-21 21:49:15.187500
1700574555.2862356,2023-11-21 21:49:15.286236
1700574555.4128964,2023-11-21 21:49:15.412896
1700574555.554518,2023-11-21 21:49:15.554518
1700574555.7370293,2023-11-21 21:49:15.737029
1700574555.9105654,2023-11-21 21:49:15.910565
1700574556.0801127,2023-11-21 21:49:16.080113
1700574556.2446718,2023-11-21 21:49:16.244672
1700574556.4082348,2023-11-21 21:49:16.408235
1700574556.577781,2023-11-21 21:49:16.577781
1700574556.7453327,2023-11-21 21:49:16.745333
1700574556.9118872,2023-11-21 21:49:16.911887
1700574557.0854242,2023-11-21 21:49:17.085424
1700574557.2609546,2023-11-21 21:49:17.260955
1700574557.4305003,2023-11-21 21:49:17.430500
1700574557.6030385,2023-11-21 21:49:17.603039
1700574557.7705917,2023-11-21 21:49:17.770592
1700574557.9391398,2023-11-21 21:49:17.939140
1700574558.1027033,2023-11-21 21:49:18.102703
1700574558.2692573,2023-11-21 21:49:18.269257
1700574558.4338171,2023-11-21 21:49:18.433817
1700574558.6033635,2023-11-21 21:49:18.603364
1700574558.771912,2023-11-21 21:49:18.771912
1700574558.9554222,2023-11-21 21:49:18.955422
1700574559.1199813,2023-11-21 21:49:19.119981
1700574559.286536,2023-11-21 21:49:19.286536
1700574559.4660563,2023-11-21 21:49:19.466056
1700574559.6326103,2023-11-21 21:49:19.632610
1700574559.8181143,2023-11-21 21:49:19.818114
1700574559.990653,2023-11-21 21:49:19.990653
1700574560.154215,2023-11-21 21:49:20.154215
1700574560.3207695,2023-11-21 21:49:20.320770
1700574560.4893196,2023-11-21 21:49:20.489320
1700574560.6558735,2023-11-21 21:49:20.655874
1700574560.8244226,2023-11-21 21:49:20.824423
1700574560.9939702,2023-11-21 21:49:20.993970
1700574561.1625183,2023-11-21 21:49:21.162518
1700574561.3300707,2023-11-21 21:49:21.330071
1700574561.5016115,2023-11-21 21:49:21.501611
1700574561.665174,2023-11-21 21:49:21.665174
1700574561.87641,2023-11-21 21:49:21.876410
1700574562.065904,2023-11-21 21:49:22.065904
1700574562.2474189,2023-11-21 21:49:22.247419
1700574562.4309273,2023-11-21 21:49:22.430927
1700574562.6084528,2023-11-21 21:49:22.608453
1700574562.7879727,2023-11-21 21:49:22.787973
1700574562.976469,2023-11-21 21:49:22.976469
1700574563.1619728,2023-11-21 21:49:23.161973
1700574563.3444846,2023-11-21 21:49:23.344485
1700574563.530985,2023-11-21 21:49:23.530985
1700574563.7174864,2023-11-21 21:49:23.717486
1700574563.9039872,2023-11-21 21:49:23.903987
1700574564.085502,2023-11-21 21:49:24.085502
1700574564.3039184,2023-11-21 21:49:24.303918
1700574564.4914162,2023-11-21 21:49:24.491416
1700574564.6789148,2023-11-21 21:49:24.678915
1700574564.8644185,2023-11-21 21:49:24.864419
1700574565.0668778,2023-11-21 21:49:25.066878
1700574565.2573678,2023-11-21 21:49:25.257368
1700574565.4378843,2023-11-21 21:49:25.437884
1700574565.6184015,2023-11-21 21:49:25.618402
1700574565.7979214,2023-11-21 21:49:25.797921
1700574565.9794357,2023-11-21 21:49:25.979436
1700574566.1609504,2023-11-21 21:49:26.160950
1700574566.3404706,2023-11-21 21:49:26.340471
1700574566.5219853,2023-11-21 21:49:26.521985
1700574566.704497,2023-11-21 21:49:26.704497
1700574566.8860118,2023-11-21 21:49:26.886012
1700574567.0695207,2023-11-21 21:49:27.069521
1700574567.2490401,2023-11-21 21:49:27.249040
1700574567.423573,2023-11-21 21:49:27.423573
1700574567.6020966,2023-11-21 21:49:27.602097
1700574567.7856052,2023-11-21 21:49:27.785605
1700574567.9601386,2023-11-21 21:49:27.960139
1700574568.1496332,2023-11-21 21:49:28.149633
1700574568.3341389,2023-11-21 21:49:28.334139
1700574568.5186458,2023-11-21 21:49:28.518646
1700574568.6991627,2023-11-21 21:49:28.699163
1700574568.8786821,2023-11-21 21:49:28.878682
1700574569.0671785,2023-11-21 21:49:29.067178
1700574569.2656474,2023-11-21 21:49:29.265647
1700574569.4431717,2023-11-21 21:49:29.443172
1700574569.6216958,2023-11-21 21:49:29.621696
1700574569.801214,2023-11-21 21:49:29.801214
1700574569.9787395,2023-11-21 21:49:29.978740
1700574570.1592562,2023-11-21 21:49:30.159256
1700574570.3387766,2023-11-21 21:49:30.338777
1700574570.5252805,2023-11-21 21:49:30.525280
1700574570.7047982,2023-11-21 21:49:30.704798
1700574570.8863125,2023-11-21 21:49:30.886312
1700574571.0628397,2023-11-21 21:49:31.062840
1700574571.2443542,2023-11-21 21:49:31.244354
1700574571.429861,2023-11-21 21:49:31.429861
1700574571.6213467,2023-11-21 21:49:31.621347
1700574571.8277938,2023-11-21 21:49:31.827794
1700574572.0192819,2023-11-21 21:49:32.019282
1700574572.1997988,2023-11-21 21:49:32.199799
1700574572.3763266,2023-11-21 21:49:32.376327
1700574572.551858,2023-11-21 21:49:32.551858
1700574572.7273889,2023-11-21 21:49:32.727389
1700574572.9069078,2023-11-21 21:49:32.906908
1700574573.0904167,2023-11-21 21:49:33.090417
1700574573.2729285,2023-11-21 21:49:33.272928
1700574573.4524486,2023-11-21 21:49:33.452449
1700574573.639947,2023-11-21 21:49:33.639947
1700574573.8224592,2023-11-21 21:49:33.822459
1700574574.0129495,2023-11-21 21:49:34.012949
1700574574.193467,2023-11-21 21:49:34.193467
1700574574.3729868,2023-11-21 21:49:34.372987
1700574574.5574932,2023-11-21 21:49:34.557493
1700574574.7390077,2023-11-21 21:49:34.739008
1700574574.9195251,2023-11-21 21:49:34.919525
1700574575.1000423,2023-11-21 21:49:35.100042
1700574575.2815561,2023-11-21 21:49:35.281556
1700574575.4620743,2023-11-21 21:49:35.462074
1700574575.6435885,2023-11-21 21:49:35.643589
1700574575.8221107,2023-11-21 21:49:35.822111
1700574576.0165918,2023-11-21 21:49:36.016592
1700574576.2060843,2023-11-21 21:49:36.206084
1700574576.3885953,2023-11-21 21:49:36.388595
1700574576.5671186,2023-11-21 21:49:36.567119
1700574576.7546175,2023-11-21 21:49:36.754617
1700574576.9321415,2023-11-21 21:49:36.932142
1700574577.1166484,2023-11-21 21:49:37.116648
1700574577.2961688,2023-11-21 21:49:37.296169
1700574577.4746907,2023-11-21 21:49:37.474691
1700574577.6621888,2023-11-21 21:49:37.662189
1700574577.8476927,2023-11-21 21:49:37.847693
1700574578.0282102,2023-11-21 21:49:38.028210
1700574578.2047384,2023-11-21 21:49:38.204738
1700574578.3862529,2023-11-21 21:49:38.386253
1700574578.5667698,2023-11-21 21:49:38.566770
1700574578.7582574,2023-11-21 21:49:38.758257
1700574578.94077,2023-11-21 21:49:38.940770
1700574579.1292655,2023-11-21 21:49:39.129266
1700574579.3107796,2023-11-21 21:49:39.310780
1700574579.4893022,2023-11-21 21:49:39.489302
