date,open,high,low,close,vol
2020/10/9,51.82,53.34,51.1,53.19,21407230
2020/10/12,53.19,57.5,52.85,57.2,28855814
2020/10/13,57.1,58.19,56.5,58.05,20149253
2020/10/14,58.0,58.4,57.16,57.76,17696267
2020/10/15,57.78,58.07,56.71,57.26,16302879
2020/10/16,57.26,57.66,56.15,57.08,13554520
2020/10/19,57.67,57.8,56.03,56.21,14760222
2020/10/20,56.32,57.56,55.9,57.38,11880914
2020/10/21,57.46,59.22,57.06,58.18,15609872
2020/10/22,57.66,59.0,57.2,58.5,11843295
2020/10/23,58.42,59.12,56.5,57.19,13242144
2020/10/26,56.72,57.15,54.52,56.8,12084135
2020/10/27,58.98,61.98,58.51,61.46,34033939
2020/10/28,62.01,63.51,61.3,62.89,23577531
2020/10/29,62.07,63.08,61.61,62.4,14998826
2020/10/30,63.01,63.51,61.38,62.26,17196142
2020/11/2,62.61,64.58,62.4,64.19,22663979
2020/11/3,64.0,65.2,63.09,64.7,16650149
2020/11/4,64.55,67.99,64.2,67.5,18406544
2020/11/5,67.12,67.85,65.1,67.01,22022495
2020/11/6,66.55,66.7,63.88,65.68,23423184
2020/11/9,66.01,69.33,65.88,68.67,21297734
2020/11/10,68.6,70.36,68.05,69.31,18769093
2020/11/11,69.25,70.22,66.9,68.07,21337029
2020/11/12,68.4,70.18,68.03,69.71,16036708
2020/11/13,69.3,69.5,68.0,68.85,12180542
2020/11/16,69.69,69.85,68.1,69.09,12334110
2020/11/17,69.48,69.64,65.01,66.0,30176643
2020/11/18,66.59,66.59,61.87,62.5,41176910
2020/11/19,62.0,63.5,60.83,62.53,26958155
2020/11/20,63.1,65.69,63.1,64.45,21829895
2020/11/23,64.45,65.47,63.69,64.57,14550446
2020/11/24,64.0,64.49,62.2,63.63,18590149
2020/11/25,63.47,63.63,61.6,62.06,15590068
2020/11/26,62.63,63.44,61.1,62.06,15982569
2020/11/27,62.01,63.45,61.62,62.62,10086433
2020/11/30,62.66,62.94,61.01,61.2,20502465
2020/12/1,62.01,65.8,61.99,65.28,25912519
2020/12/2,65.2,65.37,63.35,64.05,16505501
2020/12/3,64.17,67.09,64.16,66.59,29121965
2020/12/4,66.17,68.04,65.86,67.01,21459854
2020/12/7,66.9,67.87,66.54,66.8,16038256
2020/12/8,67.09,67.43,66.0,66.63,11668662
2020/12/9,66.64,68.44,65.95,66.0,14559165
2020/12/10,66.21,68.98,65.65,68.45,21240643
2020/12/11,68.88,69.24,66.15,67.29,24579770
2020/12/14,67.01,69.01,66.4,68.85,17105479
2020/12/15,68.95,70.25,67.61,68.9,19277571
2020/12/16,69.0,69.99,68.4,69.81,14430541
2020/12/17,69.93,71.1,69.34,70.66,19237464
2020/12/18,70.82,71.4,69.5,69.5,23907730
2020/12/21,69.61,69.83,66.87,69.44,24516776
2020/12/22,69.0,71.77,68.55,68.9,30545637
2020/12/23,69.69,70.98,68.48,70.23,23933713
