date,open,high,low,close,volume,OBV,ADJOBV,OBV_signal,Signal
2020/10/9,51.82,53.34,51.1,53.19,21407230,21407230,18540190.267857037,,
2020/10/12,53.19,57.5,52.85,57.2,28855814,50263044,43672673.42914739,28855814.0,1
2020/10/13,57.1,58.19,56.5,58.05,20149253,70412297,60483588.65399945,20149253.0,1
2020/10/14,58.0,58.4,57.16,57.76,17696267,52716030,59912741.33141881,-17696267.0,0
2020/10/15,57.78,58.07,56.71,57.26,16302879,36413151,56796014.46377169,-16302879.0,0
2020/10/16,57.26,57.66,56.15,57.08,13554520,22858631,59937790.622712106,-13554520.0,0
2020/10/19,57.67,57.8,56.03,56.21,14760222,8098409,48179647.67355956,-14760222.0,0
2020/10/20,56.32,57.56,55.9,57.38,11880914,19979323,57483977.91452342,11880914.0,1
2020/10/21,57.46,59.22,57.06,58.18,15609872,35589195,58062121.32193082,15609872.0,1
2020/10/22,57.66,59.0,57.2,58.5,11843295,47432490,63325807.988597475,11843295.0,1
2020/10/23,58.42,59.12,56.5,57.19,13242144,34190346,57058533.72905547,-13242144.0,0
2020/10/26,56.72,57.15,54.52,56.8,12084135,22106211,65926359.033237964,-12084135.0,0
2020/10/27,58.98,61.98,58.51,61.46,34033939,56140150,89759924.38482305,34033939.0,1
2020/10/28,62.01,63.51,61.3,62.89,23577531,79717681,100108433.46627107,23577531.0,1
2020/10/29,62.07,63.08,61.61,62.4,14998826,64718855,101230794.59552276,-14998826.0,0
2020/10/30,63.01,63.51,61.38,62.26,17196142,47522713,98243671.33730675,-17196142.0,0
2020/11/2,62.61,64.58,62.4,64.19,22663979,70186692,112798520.23638931,22663979.0,1
2020/11/3,64.0,65.2,63.09,64.7,16650149,86836841,121557603.35961205,16650149.0,1
2020/11/4,64.55,67.99,64.2,67.5,18406544,105243385,135204671.60235614,18406544.0,1
2020/11/5,67.12,67.85,65.1,67.01,22022495,83220890,143773424.2023563,-22022495.0,0
2020/11/6,66.55,66.7,63.88,65.68,23423184,59797706,150252177.22363296,-23423184.0,0
2020/11/9,66.01,69.33,65.88,68.67,21297734,81095440,163401212.99754605,21297734.0,1
2020/11/10,68.6,70.36,68.05,69.31,18769093,99864533,165107494.1793643,18769093.0,1
2020/11/11,69.25,70.22,66.9,68.07,21337029,78527504,158809214.53478584,-21337029.0,0
2020/11/12,68.4,70.18,68.03,69.71,16036708,94564212,167834524.61850658,16036708.0,1
2020/11/13,69.3,69.5,68.0,68.85,12180542,82383670,169458596.88517314,-12180542.0,0
2020/11/16,69.69,69.85,68.1,69.09,12334110,94717780,171079651.34231612,12334110.0,1
2020/11/17,69.48,69.64,65.01,66.0,30176643,64541137,153807922.62741327,-30176643.0,0
2020/11/18,66.59,66.59,61.87,62.5,41176910,23364227,123623153.85622686,-41176910.0,0
2020/11/19,62.0,63.5,60.83,62.53,26958155,50322382,130993735.56034675,26958155.0,1
2020/11/20,63.1,65.69,63.1,64.45,21829895,72152277,131920873.95803021,21829895.0,1
2020/11/23,64.45,65.47,63.69,64.57,14550446,86702723,131757385.80072676,14550446.0,1
2020/11/24,64.0,64.49,62.2,63.63,18590149,68112574,136384628.12823775,-18590149.0,0
2020/11/25,63.47,63.63,61.6,62.06,15590068,52522506,127860009.66518357,-15590068.0,0
2020/11/26,62.63,63.44,61.1,62.06,15982569,68505075,124991343.43441437,15982569.0,
2020/11/27,62.01,63.45,61.62,62.62,10086433,78591508,125928334.47813019,10086433.0,1
2020/11/30,62.66,62.94,61.01,61.2,20502465,58089043,109462624.24496967,-20502465.0,0
2020/12/1,62.01,65.8,61.99,65.28,25912519,84001562,128301909.71216132,25912519.0,1
2020/12/2,65.2,65.37,63.35,64.05,16505501,67496061,123235864.8507751,-16505501.0,0
2020/12/3,64.17,67.09,64.16,66.59,29121965,96618026,142418592.64940992,29121965.0,1
2020/12/4,66.17,68.04,65.86,67.01,21459854,118077880,143599869.01638243,21459854.0,1
2020/12/7,66.9,67.87,66.54,66.8,16038256,102039624,133832209.34720929,-16038256.0,0
2020/12/8,67.09,67.43,66.0,66.63,11668662,90370962,132445025.75280358,-11668662.0,0
2020/12/9,66.64,68.44,65.95,66.0,14559165,75811797,118470566.1744903,-14559165.0,0
2020/12/10,66.21,68.98,65.65,68.45,21240643,97052440,132949923.41473052,21240643.0,1
2020/12/11,68.88,69.24,66.15,67.29,24579770,72472670,126506682.73511894,-24579770.0,0
2020/12/14,67.01,69.01,66.4,68.85,17105479,89578149,141514938.2561916,17105479.0,1
2020/12/15,68.95,70.25,67.61,68.9,19277571,108855720,141076811.64255533,19277571.0,1
2020/12/16,69.0,69.99,68.4,69.81,14430541,123286261,152240060.34066865,14430541.0,1
2020/12/17,69.93,71.1,69.34,70.66,19237464,142523725,161858792.34066865,19237464.0,1
2020/12/18,70.82,71.4,69.5,69.5,23907730,118615995,137951062.34066865,-23907730.0,0
2020/12/21,69.61,69.83,66.87,69.44,24516776,94099219,156007336.55688483,-24516776.0,0
2020/12/22,69.0,71.77,68.55,68.9,30545637,63553582,132102055.42645021,-30545637.0,0
2020/12/23,69.69,70.98,68.48,70.23,23933713,87487295,141675540.6264502,23933713.0,1
