code,date,open,high,low,close,amount,volume
000300.SH,2018/11/23 14:35,3158.16,3158.81,3156.37,3156.97,1183.71,105819600
000300.SH,2018/11/23 14:40,3156.46,3156.97,3150.45,3150.45,1610.27,152266400
000300.SH,2018/11/23 14:45,3149.98,3150.38,3148.17,3148.44,1768.38,170519100
000300.SH,2018/11/23 14:50,3148.19,3148.72,3147.61,3148.05,2011.91,205519200
000300.SH,2018/11/23 14:55,3148.07,3148.3,3145,3145,2742.37,267975300
000300.SH,2018/11/23 15:00,3145.37,3145.42,3143.48,3143.48,1937.17,199141300
000300.SH,2018/11/26 9:35,3148.67,3153.8,3137.67,3153.69,5025.38,499675200
000300.SH,2018/11/26 9:40,3154.18,3155.22,3148.06,3155.08,2798.85,259210100
000300.SH,2018/11/26 9:45,3155.4,3156.19,3147.76,3148.31,2067.57,192428100
000300.SH,2018/11/26 9:50,3147.61,3155.38,3146.87,3155.32,1952.44,175709000
000300.SH,2018/11/26 9:55,3155.62,3159.89,3154.62,3154.62,1968.05,185819400
000300.SH,2018/11/26 10:00,3154.44,3159.17,3153.27,3158.94,1765.7,166885500
000300.SH,2018/11/26 10:05,3158.91,3160.55,3155.59,3155.59,1651.84,156226100
000300.SH,2018/11/26 10:10,3155.66,3155.66,3151.26,3151.31,1504.46,144295900
000300.SH,2018/11/26 10:15,3151.48,3151.73,3149.86,3151.53,1234.7,110016400
000300.SH,2018/11/26 10:20,3151.64,3156.11,3151.45,3156.11,1164.26,103864600
000300.SH,2018/11/26 10:25,3157.04,3169.44,3157.04,3169.3,2643.1,269404800
000300.SH,2018/11/26 10:30,3168.8,3168.8,3162.08,3163.88,1426.71,132510800
000300.SH,2018/11/26 10:35,3163.57,3163.57,3159.72,3159.72,1099.58,99852900
000300.SH,2018/11/26 10:40,3159.11,3159.3,3156.47,3156.83,1089.51,105168300
000300.SH,2018/11/26 10:45,3156.68,3157.08,3148.16,3148.16,1262.64,124717300
000300.SH,2018/11/26 10:50,3147.98,3147.98,3144.7,3144.7,1557.21,147147700
000300.SH,2018/11/26 10:55,3144.75,3147.99,3144.6,3145.42,1097.36,104892600
000300.SH,2018/11/26 11:00,3145.27,3145.93,3141.71,3145.41,1286.54,118644700
000300.SH,2018/11/26 11:05,3145.63,3149.35,3145.63,3148.88,881.25,84216100
000300.SH,2018/11/26 11:10,3149.15,3160.3,3149.15,3157.31,1404.21,139243000
000300.SH,2018/11/26 11:15,3157.16,3157.61,3153.81,3153.9,790.92,70274700
000300.SH,2018/11/26 11:20,3154.3,3161.18,3153.69,3160.09,1070.25,101019500
000300.SH,2018/11/26 11:25,3160.54,3161.35,3155.84,3156.09,958.59,89253800
000300.SH,2018/11/26 11:30,3156.22,3158.8,3155.81,3158.54,514.18,45390100
000300.SH,2018/11/26 13:05,3158.53,3159.59,3154.31,3156.75,1020.68,100357600
000300.SH,2018/11/26 13:10,3156.24,3159.07,3155.34,3156.5,686.61,60701300
000300.SH,2018/11/26 13:15,3156.56,3157.01,3155.51,3156.73,586.11,51521300
000300.SH,2018/11/26 13:20,3156.59,3158.62,3152.18,3152.18,904.02,77951600
000300.SH,2018/11/26 13:25,3152.18,3152.18,3148.86,3149.78,784.55,70745300
000300.SH,2018/11/26 13:30,3149.85,3149.85,3146.94,3149.33,786.27,77464700
000300.SH,2018/11/26 13:35,3149.71,3150.59,3147.77,3147.77,728.61,70058300
000300.SH,2018/11/26 13:40,3147.95,3148.22,3146.82,3147.2,808.46,76888500
000300.SH,2018/11/26 13:45,3147.9,3149.54,3143.58,3143.58,990.08,95751500
000300.SH,2018/11/26 13:50,3143.6,3144.12,3141.38,3142,913.8,86942200
000300.SH,2018/11/26 13:55,3142.56,3145.72,3141.75,3144.72,742.74,67799700
000300.SH,2018/11/26 14:00,3144.85,3145.05,3142.25,3145.04,817.28,78513300
000300.SH,2018/11/26 14:05,3145,3146.62,3142.13,3143,853.4,81354600
000300.SH,2018/11/26 14:10,3143.29,3143.29,3139.23,3139.23,921.67,91045700
000300.SH,2018/11/26 14:15,3139.15,3139.39,3134.44,3135.04,1399.69,144759300
000300.SH,2018/11/26 14:20,3134.43,3134.8,3131.91,3133.23,1223.8,124980100
000300.SH,2018/11/26 14:25,3133.57,3138.67,3133.38,3137.87,950.82,92348000
000300.SH,2018/11/26 14:30,3138.16,3138.16,3131.64,3132.45,1086.48,117520500
000300.SH,2018/11/26 14:35,3132.98,3133.7,3131.68,3132.71,1117.47,117344800
000300.SH,2018/11/26 14:40,3132.99,3137.96,3132.85,3136.84,1131.7,119287900
000300.SH,2018/11/26 14:45,3136.9,3138.03,3134.98,3135.21,1124.02,110288000
000300.SH,2018/11/26 14:50,3135.27,3135.71,3134.34,3134.34,1309.03,132410600
000300.SH,2018/11/26 14:55,3134.66,3139.1,3134.56,3139.1,1644.84,161433800
000300.SH,2018/11/26 15:00,3139.53,3141.24,3139.43,3141.24,1152.07,104578800
000300.SH,2018/11/27 9:35,3152.77,3157.31,3145.63,3149.06,4906.45,445642200
000300.SH,2018/11/27 9:40,3149.43,3154.1,3147.86,3150.2,2486.27,211789200
000300.SH,2018/11/27 9:45,3150.21,3150.85,3142.92,3145.15,1968.96,174402500
000300.SH,2018/11/27 9:50,3144.93,3147.68,3143.95,3147.67,1634.05,141166000
000300.SH,2018/11/27 9:55,3148.16,3149.6,3147.49,3148.56,1578.05,130898300
000300.SH,2018/11/27 10:00,3148.45,3148.91,3142.15,3142.3,1744.7,149633400
000300.SH,2018/11/27 10:05,3142.43,3146.31,3142.32,3145.12,1437.55,118496200
000300.SH,2018/11/27 10:10,3145.41,3145.41,3140.43,3140.98,1433.96,118822000
000300.SH,2018/11/27 10:15,3140.66,3155.06,3140.4,3154.92,1867.82,171915900
000300.SH,2018/11/27 10:20,3155.44,3156.08,3152.49,3154.04,1785.4,158412200
000300.SH,2018/11/27 10:25,3154.36,3155.95,3153.1,3153.38,1420.26,129666300
000300.SH,2018/11/27 10:30,3153.7,3162.01,3153.21,3159.71,1973.49,192405600
000300.SH,2018/11/27 10:35,3158.71,3158.71,3154.8,3157.35,1331,126555000
000300.SH,2018/11/27 10:40,3157.34,3158.1,3154.11,3155.63,925.17,83211000
000300.SH,2018/11/27 10:45,3155.49,3156.23,3154.04,3154.62,698.66,64474000
000300.SH,2018/11/27 10:50,3154.54,3155.28,3150.32,3150.32,819.21,72587000
000300.SH,2018/11/27 10:55,3149.31,3149.52,3147.35,3147.46,1009.14,87505600
000300.SH,2018/11/27 11:00,3147.65,3148.45,3146.51,3147.22,705.77,57687900
000300.SH,2018/11/27 11:05,3147.09,3149.52,3147.09,3148.52,625.78,52803200
